"","site","region","scenario","year","water_year_type","flow_metric","current_value_final","current_value_note","reference_value_final","reference_value_note","watercon_value_final","watercon_value_note","deltah_cur_ref_final","deltaH_watercon_ref_final"
"204",301011,"Oso and Small Creeks",NA,2011,"Wet","SP_Tim",86,"original",86,"original",86,"original",0,0
"205",301011,"Oso and Small Creeks",NA,2012,"Moderate","DS_Dur_WS",94,"original",NA,"original",95,"original",NA,NA
"206",301011,"Oso and Small Creeks",NA,2012,"Moderate","SP_Dur",103,"original",NA,"original",61,"original",NA,NA
"207",301011,"Oso and Small Creeks",NA,2012,"Moderate","SP_Tim",212,"original",NA,"original",249,"original",NA,NA
"208",301011,"Oso and Small Creeks",NA,2013,"Dry","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"209",301011,"Oso and Small Creeks",NA,2013,"Dry","SP_Dur",83,"original",NA,"original",27,"original",NA,NA
"210",301011,"Oso and Small Creeks",NA,2013,"Dry","SP_Tim",221,"original",NA,"original",221,"original",NA,NA
"211",301011,"Oso and Small Creeks",NA,2014,"Dry","DS_Dur_WS",244,"original",NA,"original",105,"original",NA,NA
"212",301011,"Oso and Small Creeks",NA,2014,"Dry","SP_Dur",18,"original",NA,"original",139,"original",NA,NA
"213",301011,"Oso and Small Creeks",NA,2014,"Dry","SP_Tim",154,"original",NA,"original",154,"original",NA,NA
"214",301011,"Oso and Small Creeks",NA,2015,"Moderate","DS_Dur_WS",134,"original",NA,"original",131,"original",NA,NA
"215",301011,"Oso and Small Creeks",NA,2015,"Moderate","SP_Dur",73,"original",NA,"original",76,"original",NA,NA
"216",301011,"Oso and Small Creeks",NA,2015,"Moderate","SP_Tim",230,"original",NA,"original",230,"original",NA,NA
"217",301011,"Oso and Small Creeks",NA,2016,"Dry","DS_Dur_WS",68,"original",NA,"original",174,"original",NA,NA
"218",301011,"Oso and Small Creeks",NA,2016,"Dry","SP_Dur",186,"original",NA,"original",51,"original",NA,NA
"219",301011,"Oso and Small Creeks",NA,2016,"Dry","SP_Tim",208,"original",NA,"original",209,"original",NA,NA
"220",301011,"Oso and Small Creeks",NA,2017,"Wet","DS_Dur_WS",293,"original",NA,"original",297,"original",NA,NA
"221",301011,"Oso and Small Creeks",NA,2017,"Wet","SP_Dur",13,"original",23,"original",13,"original",-10,-10
"222",301011,"Oso and Small Creeks",NA,2017,"Wet","SP_Tim",143,"original",144,"original",143,"original",-1,-1
"223",301011,"Oso and Small Creeks",NA,2018,"Dry","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"224",301011,"Oso and Small Creeks",NA,2018,"Dry","SP_Dur",NA,"original",NA,"original",NA,"original",NA,NA
"225",301011,"Oso and Small Creeks",NA,2018,"Dry","SP_Tim",164,"original",NA,"original",164,"original",NA,NA
"226",301020,"Oso and Small Creeks",NA,1994,"Moderate","DS_Dur_WS",219,"original",NA,"original",219,"original",NA,NA
